,SINGLE SIDE DINO CARDS,,,,,,,,,,,,,,,,,,,DOUBLE SIDE WORKS CARDS,,,,,,,,,,,,,,,,,,,,,,,
,,Risorse level1,,,,,Risorse level2,,,,,Risorse level3,,,,,,,,Summer,,,,,,Autumn,,,,,,Winter,,,,,,Spring,,,,,
,Dinosauro,E,P,F,M,D,E,P,F,M,D,E,P,F,M,D,SUMS,,,E,P,F,M,D,S,E,P,F,M,D,S,E,P,F,M,D,S,E,P,F,M,D,S
1,Tyrannosaurus,,,,,1,,,1,,2,,,2,,3,9,,1,,,2,,,3,,,,2,,3,,,,,1,,,,1,,,1
2,Stegosaurus,,,1,,,,,2,1,,,,3,2,,9,,,,,,,,,,,,,2,,,2,,,,2,1,,,,,1
3,Triceratops,,,,1,,,,,3,,2,,,3,,9,,2,,,2,1,,5,2,1,,,,5,,,,,3,,,,1,,,1
4,Brontosaurus,,,1,,,,,3,,,,,3,2,,9,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1
5,Allosaurus,,,,,1,,,,,3,,,2,,3,9,,3,,,1,,,1,1,,,2,,5,,,,,2,,2,,,,,2
6,Spinosaurus,,,,,1,,,,,3,,,2,,3,9,,,,,,,,,,,,,2,,2,,,,,3,,,,,,
7,Coelophysis,,1,,,,,3,,,,,5,,,,9,,4,,,1,,,1,,2,,,,3,,,,,4,,,2,,,,3
8,DiloPhosaurus,,1,,,,2,1,,,,2,3,,,,9,,,,,1,,,1,,,,,,,,,,,,,,,,,,
9,Ankylosaurus,,,1,,,,,1,2,,,,1,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Stygmoloch,,1,,,,,3,,,,2,3,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Compsognatus,1,,,,,3,,,,,3,2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Gallimimus,1,,,,,1,,,2,,3,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Parasaurolophus,1,,,,,,,2,1,,3,,2,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Edaphosaurus,,,,1,,,,2,1,,,,2,3,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Triykosaurus,,,,,1,,,1,,2,,,3,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Stirakosaurus,,,1,,,,,2,1,,,,3,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUMS,3,3,4,2,4,6,7,14,11,10,15,13,23,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUMS LEVELS,24,23,41,31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
